timestamp,r_iops,w_iops,r_kB_s,w_kB_s,r_await_ms,w_await_ms,util_percent
1774506915,0.37,64.28,7.82,8310.74,2.66,6.81,5.63
1774506916,0.37,64.28,7.82,8310.60,2.66,6.81,5.63
1774506917,0.37,64.28,7.82,8310.58,2.66,6.81,5.63
1774506918,0.37,64.28,7.82,8310.44,2.66,6.81,5.63
1774506919,0.37,64.28,7.82,8310.30,2.66,6.81,5.63
1774506920,0.37,64.28,7.82,8310.15,2.66,6.81,5.63
1774506921,0.37,64.27,7.82,8310.01,2.66,6.81,5.63
1774506922,0.37,64.27,7.82,8309.87,2.66,6.81,5.63
1774506923,0.37,64.27,7.82,8309.72,2.66,6.81,5.63
1774506924,0.37,64.27,7.82,8309.58,2.66,6.81,5.63
1774506925,0.37,64.27,7.82,8309.44,2.66,6.81,5.63
1774506926,0.37,64.27,7.82,8309.29,2.66,6.81,5.63
1774506927,0.37,64.27,7.82,8309.15,2.66,6.81,5.63
1774506928,0.37,64.27,7.82,8309.01,2.66,6.81,5.63
1774506929,0.37,64.27,7.82,8308.86,2.66,6.81,5.62
1774506930,0.37,64.26,7.82,8308.72,2.66,6.81,5.62
1774506931,0.37,64.26,7.82,8308.58,2.66,6.81,5.62
1774506932,0.37,64.26,7.82,8308.43,2.66,6.81,5.62
1774506933,0.37,64.26,7.82,8308.30,2.66,6.81,5.62
1774506934,0.37,64.26,7.82,8308.16,2.66,6.81,5.62
1774506935,0.37,64.26,7.82,8308.01,2.66,6.81,5.62
1774506936,0.37,64.26,7.82,8307.94,2.66,6.81,5.62
1774506937,0.37,64.26,7.82,8307.79,2.66,6.81,5.62
1774506938,0.37,64.26,7.82,8307.66,2.66,6.81,5.62
1774506939,0.37,64.26,7.82,8307.59,2.66,6.81,5.62
1774506940,0.37,64.26,7.82,8307.45,2.66,6.81,5.62
1774506941,0.37,64.26,7.83,8307.31,2.66,6.81,5.62
1774506942,0.37,64.26,7.83,8307.17,2.66,6.81,5.62
1774506943,0.37,64.26,7.83,8307.15,2.66,6.81,5.62
1774506944,0.37,64.26,7.83,8307.01,2.66,6.81,5.62
1774506945,0.37,64.26,7.83,8306.87,2.66,6.81,5.62
1774506946,0.37,64.26,7.83,8307.24,2.66,6.81,5.62
1774506947,0.37,64.26,7.83,8307.63,2.66,6.81,5.62
1774506948,0.37,64.25,7.83,8307.48,2.66,6.81,5.62
1774506949,0.37,64.25,7.83,8307.34,2.66,6.81,5.62
1774506950,0.37,64.25,7.83,8307.20,2.66,6.81,5.62
1774506951,0.37,64.25,7.83,8307.05,2.66,6.81,5.62
1774506952,0.37,64.25,7.83,8306.91,2.66,6.81,5.62
1774506953,0.37,64.25,7.83,8306.76,2.66,6.81,5.62
1774506954,0.37,64.25,7.83,8306.63,2.66,6.81,5.62
1774506955,0.37,64.25,7.83,8306.48,2.66,6.81,5.62
1774506956,0.37,64.25,7.83,8306.34,2.66,6.81,5.62
1774506957,0.37,64.25,7.83,8306.22,2.66,6.81,5.62
1774506958,0.37,64.25,7.83,8306.07,2.66,6.81,5.62
1774506959,0.37,64.25,7.83,8305.93,2.66,6.81,5.62
1774506960,0.37,64.25,7.83,8305.79,2.66,6.81,5.62
1774506961,0.37,64.25,7.83,8305.64,2.66,6.81,5.62
1774506962,0.37,64.24,7.83,8305.50,2.66,6.81,5.62
1774506963,0.37,64.24,7.83,8305.41,2.66,6.81,5.62
1774506964,0.37,64.24,7.83,8305.26,2.66,6.81,5.62
1774506965,0.37,64.24,7.84,8305.21,2.66,6.81,5.62
1774506966,0.37,64.24,7.84,8305.08,2.65,6.81,5.62
1774506967,0.37,64.24,7.84,8304.94,2.65,6.81,5.62
1774506968,0.37,64.24,7.84,8304.80,2.65,6.81,5.62
1774506969,0.37,64.24,7.84,8304.77,2.65,6.81,5.62
1774506970,0.37,64.24,7.84,8304.62,2.65,6.81,5.62
1774506971,0.37,64.24,7.84,8304.48,2.65,6.81,5.62
1774506972,0.37,64.24,7.84,8304.90,2.65,6.81,5.62
1774506973,0.37,64.24,7.84,8305.24,2.65,6.81,5.62
1774506974,0.37,64.24,7.84,8305.12,2.65,6.81,5.62
1774506975,0.37,64.24,7.84,8304.97,2.65,6.81,5.62
1774506976,0.37,64.24,7.84,8304.83,2.65,6.81,5.62
1774506977,0.37,64.24,7.84,8304.69,2.65,6.81,5.62
1774506978,0.37,64.23,7.84,8304.54,2.65,6.81,5.62
1774506979,0.37,64.23,7.84,8304.40,2.65,6.81,5.62
1774506980,0.37,64.23,7.84,8304.26,2.65,6.81,5.62
1774506981,0.37,64.23,7.84,8304.11,2.65,6.81,5.62
1774506982,0.37,64.23,7.84,8303.97,2.65,6.81,5.62
1774506983,0.37,64.23,7.84,8303.83,2.65,6.81,5.62
1774506984,0.37,64.23,7.84,8303.69,2.65,6.81,5.62
1774506985,0.37,64.23,7.84,8303.55,2.65,6.81,5.62
1774506987,0.37,64.23,7.84,8303.40,2.65,6.81,5.62
1774506988,0.37,64.23,7.84,8303.26,2.65,6.81,5.62
1774506989,0.37,64.23,7.84,8303.17,2.65,6.81,5.62
1774506990,0.37,64.22,7.84,8303.03,2.65,6.81,5.62
1774506991,0.37,64.22,7.84,8302.88,2.65,6.81,5.62
1774506992,0.37,64.23,7.85,8302.86,2.65,6.81,5.62
1774506993,0.37,64.23,7.85,8302.80,2.65,6.81,5.62
1774506994,0.37,64.23,7.85,8302.73,2.65,6.81,5.62
1774506995,0.37,64.23,7.85,8302.59,2.65,6.81,5.62
1774506996,0.37,64.23,7.85,8302.49,2.65,6.81,5.62
