timestamp,mem_available
1774520940,56.83
1774520941,56.83
1774520942,56.83
1774520943,56.83
1774520944,56.83
1774520945,56.83
1774520946,56.83
1774520947,56.83
1774520948,56.84
1774520949,56.84
1774520950,56.83
1774520951,56.83
1774520952,56.78
1774520953,56.82
1774520954,56.82
1774520955,56.82
1774520956,56.81
1774520957,56.81
1774520958,56.80
1774520959,56.80
1774520960,56.80
1774520961,56.80
1774520962,56.80
1774520963,56.78
1774520964,56.78
1774520965,56.78
1774520966,56.73
1774520967,56.73
1774520968,56.73
1774520969,56.73
1774520970,56.73
1774520971,56.73
1774520972,56.73
1774520973,56.73
1774520974,56.73
1774520975,56.74
1774520976,56.74
1774520977,56.74
1774520978,56.73
1774520979,56.73
1774520980,56.73
1774520981,56.73
1774520982,56.73
1774520983,56.73
1774520984,56.73
1774520985,56.73
1774520986,56.73
1774520987,56.73
1774520988,56.73
1774520989,56.73
1774520991,56.73
1774520992,56.79
1774520993,56.78
1774520994,56.78
1774520995,56.78
1774520996,56.78
1774520997,56.78
1774520998,56.78
1774520999,56.78
1774521000,56.78
1774521001,56.78
1774521002,56.78
1774521003,56.78
1774521004,56.78
1774521005,56.78
1774521006,56.78
1774521007,56.78
1774521008,56.78
1774521009,56.78
1774521010,56.78
1774521011,56.78
1774521012,56.78
1774521013,56.78
1774521014,56.78
1774521015,56.78
1774521016,56.78
1774521017,56.78
1774521018,56.78
1774521019,56.78
1774521020,56.78
1774521021,56.78
1774521022,56.78
1774521023,56.78
1774521024,56.78
1774521025,56.78
1774521026,56.78
1774521027,56.78
1774521028,56.30
1774521029,56.34
1774521030,57.07
1774521031,57.19
1774521032,57.04
1774521033,57.13
1774521034,57.17
1774521035,56.22
1774521036,56.07
1774521037,56.38
1774521038,56.14
1774521039,56.49
1774521040,56.45
1774521041,56.53
1774521042,56.64
1774521043,56.86
1774521044,56.98
1774521045,56.62
1774521046,56.60
1774521047,56.55
1774521048,56.25
1774521049,58.07
1774521050,58.36
1774521051,58.45
1774521052,58.94
1774521053,59.03
1774521054,59.99
1774521055,59.81
1774521056,59.66
1774521057,59.72
1774521058,59.74
1774521059,59.86
1774521060,59.92
1774521061,60.01
1774521062,60.05
1774521063,59.70
1774521064,59.59
1774521065,59.34
1774521066,59.36
1774521067,59.29
1774521068,59.62
1774521069,59.35
1774521070,59.22
1774521071,59.23
1774521072,60.39
1774521073,59.20
1774521074,58.94
1774521075,59.30
1774521076,58.77
1774521077,58.67
1774521078,58.42
1774521079,58.72
1774521080,58.81
1774521081,58.66
1774521082,58.75
1774521083,58.01
1774521084,57.86
1774521085,57.86
1774521086,57.56
1774521087,57.78
1774521088,57.92
1774521089,57.65
1774521090,58.30
1774521092,57.99
1774521093,57.98
1774521094,58.06
1774521095,57.99
1774521096,57.72
1774521097,57.54
1774521098,57.33
1774521099,57.10
1774521100,57.11
1774521101,57.10
1774521102,56.94
1774521103,56.86
1774521104,56.84
1774521105,57.37
1774521106,57.44
1774521107,57.65
1774521108,57.75
1774521109,57.84
1774521110,57.92
1774521111,58.11
1774521112,58.23
1774521113,58.33
1774521114,58.22
1774521115,61.19
1774521116,61.32
1774521117,61.49
1774521118,61.60
1774521119,61.72
1774521120,61.81
1774521121,61.66
1774521122,61.83
1774521123,61.82
1774521124,61.12
1774521125,61.02
1774521126,61.33
1774521127,61.43
1774521128,61.31
1774521129,60.78
1774521130,60.67
1774521131,60.92
1774521132,60.34
1774521133,61.36
1774521134,61.41
1774521135,61.20
1774521136,60.99
1774521137,61.06
1774521138,60.92
1774521139,60.95
1774521140,61.19
1774521141,61.09
1774521142,60.63
1774521143,60.43
1774521144,60.76
1774521145,60.12
1774521146,59.52
1774521147,59.55
1774521148,59.57
1774521149,59.24
1774521150,59.32
1774521151,59.37
1774521152,59.41
1774521153,59.07
1774521154,59.19
1774521155,59.27
1774521156,59.12
1774521157,59.00
1774521158,58.67
1774521159,59.19
1774521160,59.01
1774521161,58.80
1774521162,58.84
1774521163,58.29
1774521164,58.68
1774521165,58.53
1774521166,57.85
1774521167,58.06
1774521168,57.74
1774521169,57.52
1774521170,57.74
1774521171,57.67
1774521172,57.44
1774521173,57.50
1774521174,57.52
1774521175,57.34
1774521176,57.42
1774521177,57.50
1774521178,57.57
1774521179,57.67
1774521180,57.53
1774521181,57.36
1774521182,57.29
1774521183,57.33
1774521184,57.34
1774521185,57.31
1774521186,57.51
1774521187,57.29
1774521188,57.68
1774521189,57.59
1774521190,57.59
