timestamp,cpu_user,cpu_system,cpu_iowait,cpu_idle
1774592733,0.00,1.01,0.00,98.99
1774592734,0.00,0.51,0.00,99.49
1774592735,0.00,1.00,0.00,99.00
1774592736,1.00,1.00,0.00,98.00
1774592737,0.00,1.00,0.00,99.00
1774592738,0.50,1.00,0.00,98.51
1774592739,0.51,0.00,0.00,99.49
1774592740,0.00,1.01,0.00,98.99
1774592741,1.00,1.00,0.00,98.01
1774592742,0.00,1.01,0.00,98.99
1774592743,0.50,0.50,0.00,98.99
1774592744,0.50,1.00,0.00,98.50
1774592745,0.00,1.01,0.00,98.99
1774592746,1.00,1.00,0.00,98.01
1774592747,0.00,1.00,0.00,99.00
1774592748,0.50,1.01,0.00,98.49
1774592749,0.00,1.00,0.00,99.00
1774592750,0.00,1.00,0.00,99.00
1774592751,0.50,1.01,0.00,98.49
1774592752,0.00,1.00,0.00,99.00
1774592753,0.50,1.00,0.00,98.50
1774592754,0.50,1.00,0.00,98.50
1774592755,0.50,1.00,0.00,98.50
1774592756,0.50,1.00,0.00,98.51
1774592757,0.50,1.00,0.00,98.50
1774592758,0.00,1.01,0.00,98.99
1774592759,0.50,1.49,0.00,98.01
1774592760,0.50,1.00,0.00,98.50
1774592761,1.00,1.00,0.00,98.01
1774592762,0.00,1.01,0.00,98.99
1774592763,0.50,1.00,0.00,98.51
1774592764,0.50,1.01,0.00,98.49
1774592765,0.50,1.00,0.00,98.51
1774592766,0.00,1.01,0.00,98.99
1774592767,0.50,1.00,0.00,98.50
1774592768,0.50,1.00,0.00,98.51
1774592769,0.50,1.01,0.00,98.49
1774592770,0.00,1.50,0.00,98.50
1774592771,0.50,1.00,0.00,98.50
1774592772,0.00,1.01,0.00,98.99
1774592773,0.50,1.00,0.00,98.50
1774592774,0.50,1.00,0.00,98.51
1774592775,0.00,1.01,0.00,98.99
1774592776,0.00,1.00,0.00,99.00
1774592777,0.00,1.50,0.00,98.50
1774592778,0.00,1.01,0.00,98.99
1774592779,0.50,1.49,0.00,98.01
1774592780,0.50,1.00,0.00,98.50
1774592781,0.50,0.50,0.00,98.99
1774592782,0.50,1.00,0.00,98.51
1774592783,0.00,0.51,0.00,99.49
1774592784,0.00,1.50,0.00,98.50
1774592785,0.50,1.49,0.50,97.51
1774592786,0.00,1.49,0.00,98.01
1774592787,1.00,1.00,0.00,98.01
1774592788,0.00,1.01,0.00,98.99
1774592789,0.50,1.00,0.00,98.51
1774592790,0.50,1.01,0.00,98.49
1774592791,0.00,1.00,0.00,99.00
1774592792,0.00,1.01,0.00,98.99
1774592793,0.50,1.00,0.00,98.50
1774592794,0.00,1.01,0.00,98.99
1774592795,0.50,1.00,0.00,98.50
1774592796,0.50,1.00,0.00,98.50
1774592797,0.00,0.51,0.00,99.49
1774592798,1.00,1.00,0.00,98.01
1774592799,0.00,1.01,0.00,98.99
1774592800,0.50,0.50,0.00,99.00
1774592801,0.00,1.00,0.00,99.00
1774592802,1.00,1.00,0.00,98.00
1774592803,0.00,1.00,0.00,99.00
1774592804,0.50,0.50,0.00,98.99
1774592805,0.50,0.50,0.00,98.99
1774592806,0.50,1.00,0.00,98.01
1774592807,0.50,1.00,0.00,98.50
1774592808,0.50,1.00,0.00,98.50
1774592809,0.00,0.51,0.00,99.49
1774592810,0.50,0.50,0.00,98.99
1774592811,0.00,1.98,0.00,98.02
1774592812,1.00,1.00,0.00,98.01
1774592813,0.00,1.01,0.00,98.99
1774592814,0.00,1.49,0.00,98.51
1774592815,1.00,1.00,0.00,98.00
1774592816,0.50,1.50,0.00,98.00
1774592817,0.00,0.50,0.00,99.50
1774592818,1.01,0.50,0.00,98.49
1774592819,0.51,0.51,0.00,98.99
1774592820,0.00,1.00,0.00,99.00
1774592821,0.50,1.51,0.00,97.99
1774592822,0.51,0.51,0.00,98.99
1774592823,0.50,1.49,0.00,98.02
1774592824,0.00,1.01,0.00,98.99
1774592825,1.00,1.00,0.00,98.01
1774592826,0.00,1.01,0.00,98.99
1774592827,0.50,1.49,0.00,98.02
1774592828,0.00,1.01,0.00,98.99
1774592829,0.00,1.00,0.00,99.00
1774592830,0.50,1.49,0.00,98.01
1774592831,0.50,0.50,0.00,98.99
1774592832,0.50,1.00,0.50,98.00
1774592833,0.00,1.00,0.00,98.50
1774592834,0.00,1.01,0.00,98.99
1774592835,0.00,1.01,0.00,98.99
1774592836,0.00,0.50,0.00,99.50
1774592837,0.51,0.51,0.00,98.99
1774592838,0.50,1.01,0.00,98.49
1774592839,0.50,1.00,0.00,98.50
1774592840,0.50,1.49,0.00,98.01
1774592841,0.00,1.00,0.00,99.00
1774592842,0.50,1.01,0.00,98.49
1774592843,0.99,1.49,0.00,97.52
1774592844,0.00,1.01,0.00,98.99
1774592845,0.00,1.00,0.00,99.00
1774592846,1.00,1.49,0.00,97.51
1774592847,0.00,1.00,0.00,99.00
1774592848,0.50,1.01,0.00,98.49
1774592849,0.00,1.00,0.00,99.00
1774592850,0.00,1.01,0.00,98.99
1774592851,0.00,1.01,0.00,98.99
1774592852,0.00,1.01,0.00,98.99
1774592853,0.50,1.01,0.00,98.49
1774592854,0.50,1.01,0.00,98.49
1774592855,0.50,1.01,0.00,98.49
1774592856,0.50,1.50,0.00,98.00
1774592857,0.50,1.00,0.00,98.50
1774592858,0.50,1.00,0.00,98.50
1774592859,0.00,1.00,0.00,99.00
1774592860,0.50,1.50,0.00,98.00
1774592861,0.50,1.00,0.00,98.50
1774592862,0.00,1.00,0.00,99.00
1774592863,0.50,1.99,0.00,97.51
1774592864,0.00,1.00,0.00,99.00
1774592865,0.50,1.01,0.00,98.49
1774592866,0.50,1.00,0.00,98.51
1774592867,0.00,1.01,0.00,98.99
1774592868,0.00,1.50,0.00,98.50
1774592869,0.50,1.00,0.00,98.50
1774592870,0.50,1.49,0.00,98.01
1774592871,0.00,1.51,0.00,98.49
1774592872,1.00,1.00,0.00,98.00
1774592873,0.00,1.00,1.00,98.01
1774592874,1.00,1.00,0.00,98.00
1774592875,0.00,1.00,0.00,99.00
1774592876,0.50,1.49,0.00,98.01
1774592877,0.50,1.00,0.00,98.50
1774592878,0.50,1.50,0.00,98.00
1774592879,0.50,1.00,0.00,98.51
1774592880,0.00,1.01,0.00,98.99
1774592881,0.99,1.49,0.00,97.52
1774592882,0.50,1.01,0.00,98.49
1774592883,0.50,1.00,0.00,98.50
1774592884,0.00,1.50,0.00,98.00
1774592885,0.00,1.50,0.00,98.50
1774592886,1.00,1.00,0.00,98.01
1774592887,0.00,1.01,0.00,98.99
1774592888,0.50,1.00,0.00,98.50
1774592889,0.50,1.00,0.00,98.50
1774592890,0.50,1.00,0.00,98.50
