timestamp,disk_used_percent,disk_available_gb,disk_total_gb
1774507920,6,58,61
1774507921,6,58,61
1774507922,6,58,61
1774507923,6,58,61
1774507924,6,58,61
1774507925,6,58,61
1774507926,6,58,61
1774507927,6,58,61
1774507928,6,58,61
1774507929,6,58,61
1774507930,6,58,61
1774507931,6,58,61
1774507932,6,58,61
1774507933,6,58,61
1774507934,6,58,61
1774507935,6,58,61
1774507936,6,58,61
1774507937,6,58,61
1774507938,6,58,61
1774507939,6,58,61
1774507940,6,58,61
1774507941,6,58,61
1774507942,6,58,61
1774507943,6,58,61
1774507944,6,58,61
1774507945,6,58,61
1774507946,6,58,61
1774507947,6,58,61
1774507948,6,58,61
1774507949,6,58,61
1774507950,6,58,61
1774507951,6,58,61
1774507952,6,58,61
1774507953,6,58,61
1774507954,6,58,61
1774507955,6,58,61
1774507956,6,58,61
1774507957,6,58,61
1774507958,6,58,61
1774507959,6,58,61
1774507960,6,58,61
1774507961,6,58,61
1774507962,6,58,61
1774507963,6,58,61
1774507964,6,58,61
1774507966,6,58,61
1774507967,6,58,61
1774507968,6,58,61
1774507969,6,58,61
1774507970,6,58,61
1774507971,6,58,61
1774507972,6,58,61
1774507973,6,58,61
1774507974,6,58,61
1774507975,6,58,61
1774507976,6,58,61
1774507977,6,58,61
1774507978,6,58,61
1774507979,6,58,61
1774507980,6,58,61
1774507981,6,58,61
1774507982,6,58,61
1774507983,6,58,61
1774507984,6,58,61
1774507985,6,58,61
1774507986,6,58,61
1774507987,6,58,61
1774507988,6,58,61
1774507989,6,58,61
1774507990,6,58,61
1774507991,6,58,61
1774507992,6,58,61
1774507993,6,58,61
1774507994,6,58,61
1774507995,6,58,61
1774507996,6,58,61
1774507997,6,58,61
1774507998,6,58,61
1774507999,6,58,61
1774508000,6,58,61
1774508001,6,58,61
1774508002,6,58,61
1774508003,6,58,61
1774508004,6,58,61
1774508005,6,58,61
1774508006,6,58,61
1774508007,6,58,61
1774508008,6,58,61
1774508009,6,58,61
1774508010,6,58,61
1774508011,6,58,61
1774508012,6,58,61
1774508013,6,58,61
1774508014,6,58,61
1774508015,6,58,61
1774508016,6,58,61
1774508017,6,58,61
1774508018,6,58,61
1774508019,6,58,61
1774508020,6,58,61
1774508021,6,58,61
1774508022,6,58,61
1774508023,6,58,61
1774508024,6,58,61
1774508025,6,58,61
1774508026,6,58,61
1774508027,6,58,61
1774508028,6,58,61
1774508029,6,58,61
1774508030,6,58,61
1774508031,6,58,61
1774508032,6,58,61
1774508033,6,58,61
1774508034,6,58,61
1774508036,6,58,61
1774508037,6,58,61
1774508038,6,58,61
1774508039,6,58,61
1774508040,6,58,61
1774508041,6,58,61
1774508042,6,58,61
1774508043,6,58,61
1774508044,6,58,61
1774508045,6,58,61
1774508046,6,58,61
1774508047,6,58,61
1774508048,6,58,61
1774508049,6,58,61
1774508050,6,58,61
1774508051,6,58,61
1774508052,6,58,61
1774508053,6,58,61
1774508054,6,58,61
1774508055,6,58,61
1774508056,6,58,61
1774508057,6,58,61
1774508058,6,58,61
1774508059,6,58,61
1774508060,6,58,61
1774508061,6,58,61
1774508062,6,58,61
1774508063,6,58,61
1774508064,6,58,61
1774508065,6,58,61
1774508066,6,58,61
1774508067,6,58,61
1774508068,6,58,61
1774508069,6,58,61
1774508070,6,58,61
1774508071,6,58,61
1774508072,6,58,61
1774508073,6,58,61
1774508074,6,58,61
1774508075,6,58,61
1774508076,6,58,61
1774508077,6,58,61
1774508078,6,58,61
1774508079,6,58,61
1774508080,6,58,61
1774508081,6,58,61
1774508082,6,58,61
1774508083,6,58,61
1774508084,6,58,61
1774508085,6,58,61
1774508086,6,58,61
1774508087,6,58,61
1774508088,6,58,61
1774508089,6,58,61
1774508090,6,58,61
1774508091,6,58,61
1774508092,6,58,61
1774508093,6,58,61
1774508094,6,58,61
1774508095,6,58,61
1774508096,6,58,61
1774508097,6,58,61
1774508098,6,58,61
1774508099,6,58,61
1774508100,6,58,61
1774508101,6,58,61
1774508102,6,58,61
1774508103,6,58,61
1774508104,6,58,61
1774508105,6,58,61
1774508106,6,58,61
1774508108,6,58,61
1774508109,6,58,61
1774508110,6,58,61
1774508111,6,58,61
1774508112,6,58,61
1774508113,6,58,61
1774508114,6,58,61
1774508115,6,58,61
1774508116,6,58,61
1774508117,6,58,61
1774508118,6,58,61
1774508119,6,58,61
1774508120,6,58,61
1774508121,6,58,61
1774508122,6,58,61
1774508123,6,58,61
1774508124,6,58,61
1774508125,6,58,61
1774508126,6,58,61
1774508127,6,58,61
1774508128,6,58,61
1774508129,6,58,61
1774508130,6,58,61
1774508131,6,58,61
1774508132,6,58,61
1774508133,6,58,61
1774508134,6,58,61
1774508135,6,58,61
1774508136,6,58,61
1774508137,6,58,61
1774508138,6,58,61
1774508139,6,58,61
1774508140,6,58,61
1774508141,6,58,61
1774508142,6,58,61
